label,Fx,Fy,Fz,Tx,Ty,Tz
normal,"[-1, -1, -1, -2, 1, -1, 0, -3, 0, 0, -1, 0, -2, -1, -1]","[-1, -1, -1, 1, -7, -1, 2, 4, -3, -3, 0, -3, 2, 0, 0]","[63, 63, 63, 52, 68, 63, 64, 57, 65, 61, 57, 70, 58, 70, 64]","[-3, -3, -2, -6, 6, -5, -5, -8, 1, -1, -5, 0, -8, -5, -5]","[0, 0, -1, -3, 2, -1, 1, -3, 0, -1, -3, 1, -4, -2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
normal,"[1, -1, 1, -1, 0, 1, 2, -3, -1, -2, -1, 1, -1, 0, -2]","[-3, 0, 0, 0, 1, -4, 1, 2, 0, 0, -1, -4, -3, -3, 2]","[62, 51, 70, 63, 63, 66, 66, 59, 61, 63, 60, 59, 51, 69, 60]","[-1, -3, -5, -7, -6, 1, -5, -7, -4, -5, -3, 0, -1, -3, -10]","[2, -2, 1, -2, -2, -1, 0, -4, -3, -6, -5, 1, -4, 1, -5]","[0, -1, -1, -1, -1, 0, 0, 0, -1, 1, 0, 0, 0, 0, 0]"
normal,"[0, -3, 0, -1, -2, 0, 0, -2, -2, -1, -2, 1, -1, 1, -1]","[-1, 4, 0, 3, 2, -5, -5, 1, 2, 3, 4, 2, -1, -4, -2]","[69, 60, 69, 67, 61, 59, 60, 57, 61, 68, 60, 66, 58, 52, 54]","[-4, -12, -5, -11, -9, 0, 0, -6, -9, -9, -10, -10, -5, 0, -3]","[2, -4, -1, -2, -5, -1, 1, -3, -5, -4, -5, 1, 2, 4, -3]","[-1, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1]"
normal,"[1, -1, -1, -2, 0, -1, 0, 1, -2, 1, -1, 1, -1, 0, 0]","[-2, 0, 1, 2, 1, -1, -1, -2, 1, -2, -1, -4, -3, -2, -1]","[57, 64, 66, 64, 60, 56, 59, 64, 59, 63, 47, 59, 64, 60, 60]","[-4, -9, -8, -11, -6, -6, -4, -7, -8, -4, -3, 0, -4, -4, -6]","[0, -2, -2, -6, -1, -3, -5, -2, -6, -1, -2, 2, -6, -1, 0]","[-1, 0, -1, -1, -1, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1]"
normal,"[-1, 1, 1, -1, 0, -1, -2, -1, 0, -2, -2, 1, -3, -2, -1]","[1, -1, -1, 1, -3, 2, 1, -1, 1, 4, 3, -1, 2, 2, 0]","[67, 64, 72, 58, 58, 58, 57, 61, 61, 54, 60, 69, 58, 67, 65]","[-9, -5, -6, -11, -5, -9, -9, -5, -9, -10, -11, -8, -11, -11, -9]","[-4, -1, -2, -4, 1, -4, -3, 0, -1, -4, -6, 0, -5, -7, -3]","[-1, -1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1]"
normal,"[0, -1, -1, -1, -2, -1, -2, 0, -1, -2, -1, -1, -1, -2, -3]","[2, 0, 1, 3, 2, -1, 2, 1, 1, 1, 0, 0, 0, 2, 2]","[67, 56, 65, 63, 59, 60, 61, 56, 56, 56, 59, 57, 59, 54, 50]","[-11, -7, -10, -13, -8, -5, -13, -8, -8, -10, -9, -9, -11, -10, -13]","[-3, -3, -6, -6, -4, -5, -5, -3, -3, -3, -4, -4, -4, -5, -6]","[0, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, 1, -1]"
normal,"[-1, -2, 0, -2, -2, -1, -2, 0, -1, 0, -1, 0, -1, -1, 0]","[1, 0, 0, -1, 0, -1, 2, -3, 0, 0, 1, 0, -1, -2, 2]","[58, 57, 63, 64, 54, 57, 58, 63, 57, 60, 56, 55, 50, 57, 63]","[-8, -7, -11, -9, -9, -9, -10, -7, -8, -10, -10, -8, -7, -6, -12]","[-4, -3, -6, -6, -5, -4, -5, -1, -3, -5, -3, -3, -2, -4, -2]","[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, -1, 0, 1]"
normal,"[1, -1, -1, -1, -1, -1, 1, -1, -2, 1, 0, -1, -1, -1, -1]","[0, 1, 1, 1, 3, 1, -2, -2, 3, -2, 1, 2, 1, 2, 2]","[60, 57, 53, 60, 53, 57, 68, 59, 56, 60, 60, 57, 58, 58, 57]","[-8, -12, -12, -11, -12, -12, -12, -8, -15, -6, -14, -13, -11, -12, -13]","[1, -3, -6, -5, -2, -5, -2, -1, -6, 2, -5, -4, -4, -4, -4]","[1, -1, -1, -1, 1, -1, -1, 0, 0, 0, 0, -2, -1, 0, 0]"
collision,"[24, 69, 15, -9, 11, 10, -8, -12, 1, 3, -2, 2, 1, -3, -3]","[53, 14, -14, -20, -8, 2, 4, 5, 6, 3, 1, 1, 2, -1, -2]","[79, 48, 55, 62, 53, 66, 68, 58, 59, 64, 71, 59, 63, 61, 64]","[-200, -40, 24, 19, 6, -6, -10, -10, -11, -9, -6, -6, -7, -4, -3]","[109, 100, 11, -16, 13, 13, -8, -18, 1, 4, -3, 3, -1, -5, -5]","[2, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, -1, -1]"
collision,"[185, -10, -1, -10, 0, 0, 0, 0, -1, -1, 0, -4, -3, -1, 1]","[105, 5, -4, -2, -2, 1, -5, -4, -1, 1, 0, 0, 1, 0, 1]","[118, 75, 43, 64, 66, 58, 61, 57, 59, 64, 67, 61, 60, 57, 65]","[-180, -36, 1, 3, 1, -5, 2, 1, -1, -5, -6, -5, -6, -4, -6]","[374, 34, -8, -19, 0, 2, -2, -4, -4, -6, -3, -7, -4, -4, 2]","[12, -2, 0, 0, 0, -1, 1, 0, 0, 1, 0, 0, 0, -1, 0]"
collision,"[-21, -119, -38, 3, 5, -9, 0, 13, 8, -5, -3, -7, -1, -1, 4]","[-50, 2, -10, 9, 12, 2, -4, -3, -1, 0, -1, -2, -1, 1, 1]","[46, 146, 43, 66, 59, 73, 51, 66, 66, 54, 63, 65, 61, 65, 64]","[-180, 5, -8, -5, -16, -2, 5, 3, 1, -1, 1, 3, 2, -2, -2]","[266, -115, -27, -3, 11, -13, -2, 18, 12, -7, -5, -8, -1, -3, 7]","[98, -14, -4, -2, 1, 0, 0, 0, 1, 0, -1, 0, 0, 0, 1]"
collision,"[112, -5, 5, 7, -2, -4, -2, -4, -3, -2, 1, 1, 0, -1, -1]","[-54, -36, -24, -12, -7, 5, 4, 4, 3, 3, 1, 1, 0, 2, 4]","[85, 56, 74, 65, 57, 66, 57, 65, 52, 57, 64, 60, 56, 63, 59]","[-77, 123, 50, 5, 11, -7, -2, -8, -3, -3, 1, -1, 0, -3, -2]","[284, -115, -19, 26, -3, -8, 0, -6, -3, -1, 2, 3, 3, -1, -1]","[-3, -29, -2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, -1, 1]"
collision,"[95, 17, -29, -8, 9, -10, -8, 3, 8, 4, -3, -2, -3, -3, -3]","[-4, 9, -6, 11, 13, 6, 3, 4, 4, -1, 0, 0, 3, 0, 3]","[38, 43, 55, 68, 61, 68, 74, 65, 61, 59, 61, 67, 59, 67, 64]","[125, -18, 6, -17, -18, -9, -4, -8, -6, 1, 0, 0, -5, -2, -7]","[111, 48, -45, -8, 14, -15, -10, 6, 11, 5, -5, -7, -4, -7, -6]","[-4, -4, 4, 6, 6, 0, 0, 1, 0, 0, -1, 1, 0, 1, 1]"
collision,"[-127, -134, -49, -15, -7, -14, -4, 8, 6, -1, -4, -1, 3, 1, 0]","[83, 53, 54, 53, 31, 15, 9, 7, -1, 2, 1, 1, 0, 1, 1]","[69, 108, 79, 74, 75, 60, 51, 58, 63, 52, 59, 52, 66, 60, 64]","[-71, -59, -75, -67, -40, -15, -15, -11, 0, -5, -6, -2, -2, -3, -4]","[-148, -173, -60, -8, -12, -20, -2, 12, 9, -2, -7, -2, 1, 2, 1]","[-53, -23, 8, 1, -10, -6, 11, 2, -6, -5, 5, 2, -4, -2, 4]"
collision,"[-72, -26, -30, 0, 0, -5, 0, 6, 5, -2, -1, 0, 1, 0, 1]","[-24, -10, -17, -3, -3, -1, -3, -4, -5, -4, -3, 0, -1, 0, 1]","[84, 37, 67, 50, 53, 60, 64, 57, 59, 64, 58, 60, 53, 59, 59]","[120, 12, 16, -1, -2, -6, -3, -1, -2, -1, -3, -9, -4, -6, -10]","[-196, -50, -40, -10, -1, -11, -4, 4, 5, -7, -5, -3, -4, -3, -2]","[-15, -3, -4, 0, -3, -1, -1, 0, -1, 0, 0, 0, -2, 0, 0]"
collision,"[-133, 21, 14, 6, 15, 10, 5, 0, -1, -1, 1, 1, -1, 0, 0]","[-34, 6, 17, 1, -3, -4, -6, -4, -1, 1, 0, -3, 2, 1, 0]","[18, 79, 69, 56, 51, 52, 63, 61, 61, 61, 66, 59, 59, 58, 60]","[21, -36, -45, -5, 0, -2, 2, -1, -5, -10, -10, -3, -12, -9, -8]","[131, 59, 13, 7, 17, 8, 3, -3, -6, -6, -4, -2, -6, -5, -6]","[-41, -2, -5, 7, -2, -3, 1, -2, -1, -1, 1, 0, 0, -1, -1]"
collision,"[-10, 22, 22, 11, 3, 6, 8, 0, -5, -4, 1, -3, 3, -2, -2]","[-2, -4, 4, -5, -13, -8, -3, -5, -4, -3, 0, 6, 0, 0, 2]","[27, 61, 62, 55, 61, 57, 57, 60, 57, 66, 59, 64, 59, 60, 61]","[-17, -6, -12, -1, 10, 5, -1, -1, -4, -2, -9, -21, -8, -9, -12]","[8, 28, 24, 10, -1, 4, 9, -4, -11, -8, -6, -17, -3, -7, -6]","[3, 1, 1, 0, 1, 0, 1, 0, 1, -1, -1, -3, 0, 1, 0]"
collision,"[5, -25, -16, 1, 0, -5, -1, 5, 6, -1, -1, 0, 2, 1, 1]","[23, 8, -8, -1, 2, -2, -6, -4, -5, -3, -4, -4, -5, -2, -3]","[157, 93, 56, 50, 55, 60, 58, 64, 63, 58, 57, 61, 66, 53, 51]","[-186, -46, 19, -5, -10, -4, 1, -4, -1, -2, -2, -4, -3, -4, -2]","[179, 25, -54, -8, 3, -11, -5, 2, 2, -5, -6, -6, 0, -4, -3]","[2, -5, 1, -1, 0, 0, 0, -2, 0, 0, -2, 0, 0, -1, 0]"
collision,"[-14, -22, -3, 0, -10, -1, 2, 1, -1, -3, 0, -1, -1, 1, 1]","[-10, -14, 9, 8, 4, 4, 6, 4, 2, -1, 1, 2, 0, 1, 0]","[52, 47, 62, 59, 60, 57, 66, 57, 53, 57, 68, 57, 67, 61, 65]","[15, 8, -23, -19, -13, -13, -15, -12, -8, -5, -8, -10, -9, -9, -9]","[-77, -31, -1, -1, -16, -3, 1, 2, -5, -7, -2, -6, -6, -3, -2]","[0, 2, -1, -1, 0, -2, 0, 0, 0, -1, -1, -1, 0, -1, -1]"
collision,"[8, 2, 10, 3, 7, 1, 3, 3, 0, 1, -1, 1, 0, -1, -1]","[-17, -25, -17, -17, -10, -9, -12, -5, -8, -2, -2, 0, 0, 0, 3]","[50, 55, 50, 60, 65, 56, 59, 58, 63, 56, 56, 61, 57, 49, 63]","[16, 22, 18, 11, 8, 1, 10, -1, 2, -5, -4, -7, -8, -9, -11]","[-1, -1, 9, 3, 7, -1, 3, 2, -3, -1, -5, -2, -6, -3, -3]","[-2, -1, -2, -2, 1, 0, -1, 0, 0, 0, -2, 0, -1, -1, -1]"
collision,"[3, 9, 7, 3, 1, 2, 3, 4, 2, 2, 2, 2, 2, 1, 0]","[-33, -25, -12, -16, -17, -9, -5, -7, -9, -8, -6, -5, -3, -2, -2]","[32, 54, 44, 54, 56, 65, 53, 56, 49, 55, 59, 53, 46, 59, 54]","[41, 26, -2, 12, 12, 3, -3, -2, 3, -1, -3, -3, -8, -4, -11]","[2, 7, 11, 2, 1, -2, 3, -1, 2, -4, -2, -1, -3, -2, -5]","[-1, 0, -1, 1, 1, -1, 1, -1, 0, -2, -1, 0, 0, -1, 0]"
collision,"[2, 0, -20, 0, 2, -3, -2, 3, 4, 1, -1, 1, 0, -1, -1]","[-3, 7, -7, -2, 0, 0, -1, -5, -3, -3, -3, -3, 0, 0, 1]","[70, 69, 52, 63, 62, 57, 54, 54, 63, 63, 59, 60, 60, 57, 58]","[-3, -21, 9, -7, -6, -6, -4, 0, -5, -3, -3, -3, -8, -8, -9]","[-1, 14, -41, 3, 2, -5, -7, 3, 3, 0, -7, 0, -1, -6, -3]","[0, -15, 0, 0, -1, -1, 0, -1, -1, 0, -1, 0, 0, -1, 0]"
collision,"[4, 32, -2, -1, -1, 1, -4, -5, 1, 2, 0, -2, -1, -1, -1]","[-14, 7, 2, 2, 3, 3, 6, 4, 4, 2, 3, 5, 1, 2, 0]","[59, 47, 72, 59, 58, 67, 63, 61, 66, 65, 63, 57, 65, 65, 59]","[82, -32, -1, -15, -12, -10, -15, -14, -14, -10, -13, -13, -10, -11, -8]","[-85, 59, -16, -1, -2, -4, -7, -10, -3, -1, 0, -6, -4, -4, -7]","[13, 3, 1, 0, 1, 1, -1, 0, -1, -1, -2, -1, 0, 0, 0]"
collision,"[71, 21, 63, 13, 0, 8, 6, -3, -8, -1, 3, 1, -1, -1, 1]","[51, 37, -9, -17, -11, -10, -4, -2, 1, 6, 4, 3, 0, 0, -2]","[5, 115, 6, 73, 52, 64, 57, 72, 53, 74, 65, 62, 60, 59, 65]","[686, -85, -34, 23, 12, 10, -2, -7, -9, -16, -11, -11, -8, -8, -5]","[494, 55, 159, 14, -13, 9, 5, -5, -15, -4, 1, -1, -7, -7, 0]","[-137, -4, -10, -2, 0, 1, 0, 1, -1, -1, 0, -1, 0, 0, 0]"
collision,"[-93, -20, 11, 11, 0, 3, 8, 7, -3, -6, -2, 3, 2, -1, -2]","[76, 63, 44, 16, 0, -2, -3, 1, 0, 2, 4, 6, 4, 2, 1]","[80, 62, 57, 66, 58, 61, 63, 59, 59, 57, 74, 59, 59, 61, 64]","[-123, -108, -64, -27, -8, -7, -5, -11, -9, -13, -17, -17, -14, -11, -10]","[-151, -30, 15, 7, -4, -1, 8, 7, -9, -13, -7, 2, 1, -3, -6]","[-1, -1, -1, 0, 0, 0, -1, 1, -1, -1, 0, 0, -1, -1, 0]"
obstruction,"[-8, -10, -10, -9, -3, -38, -30, -31, -14, -3, -6, -3, 0, -3, -3]","[20, 22, 17, 15, 19, 130, 139, 31, 18, 14, 8, 3, 5, 5, 3]","[-5, -4, -4, 0, -21, -786, -1235, -39, -21, 5, 3, 4, 10, 10, 10]","[-26, -22, -16, -11, 12, 191, 472, -11, 24, 6, 12, 16, 17, 14, 16]","[-10, -9, -10, -6, 21, 315, 601, -3, 22, 5, 4, 6, 6, 2, 4]","[-1, -2, -1, 0, -2, 29, 39, 3, 8, -4, -1, -2, -3, -2, -3]"
obstruction,"[11, 28, 46, 17, -6, -5, 1, 1, 3, 3, 1, 2, 2, 2, 2]","[-3, -103, -217, -95, 10, 13, 6, 5, 4, 4, 3, 3, 3, 3, 3]","[-301, -826, -1218, -621, -77, -104, -112, -111, -113, -115, -116, -119, -118, -117, -118]","[-267, -278, -147, -164, -103, -129, -142, -146, -146, -143, -145, -149, -150, -148, -148]","[-88, -237, -345, -226, -56, -60, -66, -58, -54, -58, -61, -62, -60, -58, -58]","[-16, 6, 40, 40, -6, -1, -2, -5, -4, -4, -5, -5, -5, -5, -5]"
obstruction,"[5, -21, -22, 8, 1, 13, 3, 1, 4, 2, -2, -4, -3, -1, 1]","[-4, -59, -106, -46, -38, -13, -13, -9, -5, -4, -1, 0, 0, 1, 0]","[-345, -1162, -1360, 100, 38, 56, 54, 58, 60, 61, 58, 60, 59, 61, 60]","[-185, -239, -82, 52, 49, 7, 8, 5, -1, -3, -7, -8, -9, -8, -8]","[0, 2, 27, -6, 1, 17, 1, -1, 3, 1, -6, -9, -6, -4, -2]","[0, -5, 1, -9, -1, -2, -1, -1, -1, -1, -2, -1, -1, -1, -1]"
obstruction,"[-6, -38, 4, 11, 4, 7, 7, 1, -2, -1, 2, 3, 1, 1, 3]","[15, 14, -3, -2, -4, -17, -6, -9, -12, -11, -11, -8, -7, -4, -3]","[-414, -1357, -90, 73, 42, 61, 54, 57, 58, 53, 58, 58, 57, 57, 58]","[-53, -192, -28, -4, -4, 13, 0, 3, 6, 5, 4, 0, 0, -4, -5]","[16, 71, -20, 22, 2, 6, 7, -1, -6, -5, -1, 0, -2, -2, 1]","[-5, -9, 12, -2, 0, 0, -1, -1, -2, -1, -1, -2, -1, -2, -2]"
obstruction,"[-31, -80, -88, 20, 0, -9, -3, 2, 1, 0, 1, 1, 0, -1, -1]","[0, -63, -121, 40, 27, 9, 5, 3, -1, -2, -3, -3, -2, 1, 2]","[-398, -987, -1299, -45, 30, 49, 49, 46, 39, 38, 38, 38, 38, 43, 46]","[-259, -286, -229, -54, -51, -27, -25, -21, -19, -17, -18, -19, -19, -18, -19]","[4, 57, 137, 24, -10, -6, -3, 3, 3, -1, 2, 4, 0, -1, -2]","[25, 20, 1, -4, -5, -2, -2, -2, -2, 0, -1, -1, 0, 0, -1]"
normal,"[0, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, 0, -1, -1]","[2, 0, 0, -1, 0, 1, 0, 3, 0, 1, 0, 2, 3, 3, 2]","[50, 58, 67, 52, 56, 64, 68, 59, 68, 59, 56, 60, 61, 63, 64]","[-13, -8, -11, -7, -8, -11, -9, -16, -13, -11, -11, -13, -15, -16, -14]","[-4, -3, -3, -4, -6, -5, -5, -8, -4, -3, -6, -3, -3, -8, -5]","[-1, -2, -1, -1, -2, -1, -1, -1, -1, -1, -2, -2, -1, -1, -1]"
obstruction,"[-20, -26, 4, -5, -5, -7, -3, 2, 2, 0, -2, -1, -1, -1, -2]","[55, 76, 9, -7, 12, 6, 3, 5, 6, 6, 3, 2, 1, 1, 0]","[-918, -1352, 54, 62, 53, 57, 58, 56, 58, 57, 57, 57, 54, 56, 57]","[-90, -127, -25, 0, -22, -16, -15, -18, -17, -18, -14, -13, -12, -11, -11]","[-77, -96, 2, -13, -9, -13, -7, 0, -2, -3, -6, -6, -5, -6, -6]","[-6, -9, -4, 0, -2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
normal,"[0, -1, -1, 1, 1, 0, 0, -1, -1, 0, -1, -1, 0, 1, -1]","[2, 0, 1, -2, -1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[61, 60, 53, 66, 60, 64, 57, 64, 66, 66, 59, 66, 65, 63, 64]","[-12, -6, -8, -6, -9, -9, -8, -12, -9, -13, -12, -12, -12, -10, -9]","[-2, -3, -5, -2, -3, -1, -4, -4, -4, -5, -4, -5, -3, -2, -5]","[5, 0, 3, -1, -1, -1, -1, -1, -1, -1, -1, 0, -2, -1, -1]"
obstruction,"[-35, -45, 10, -1, 1, -1, 1, 4, 3, 0, -4, -4, -3, -2, -2]","[17, 31, -20, -24, 2, -4, 1, 4, 4, 8, 8, 7, 6, 5, 4]","[-1029, -1395, 22, 62, 51, 59, 56, 58, 62, 57, 60, 59, 59, 58, 59]","[-232, -151, 12, 20, -13, -5, -12, -15, -16, -19, -20, -18, -17, -17, -16]","[27, 12, 9, -9, -4, -7, -4, 3, 0, -6, -9, -8, -6, -6, -6]","[1, -11, -1, 0, -2, 0, -2, -1, -1, -1, -1, -1, -1, -1, -1]"
obstruction,"[1, -1, -11, -77, -90, -37, -2, 4, 3, 3, 4, 2, 3, 2, 3]","[0, 0, 38, 175, 142, 59, 6, 2, 1, 2, 5, 5, 4, 2, 2]","[57, 54, -364, -1133, -1130, -127, -53, -17, -15, -23, -36, -36, -27, -20, -21]","[8, 11, 207, 383, 523, 22, 86, 53, 53, 56, 61, 60, 59, 58, 59]","[5, 6, 62, -14, -21, 25, 18, 38, 30, 33, 38, 37, 34, 33, 32]","[7, 8, 4, -25, -36, 33, 3, 10, 7, 10, 12, 10, 10, 9, 9]"
obstruction,"[-6, -80, -102, 64, -2, 7, 5, 4, 2, 3, 4, 5, 5, 4, 5]","[27, 162, 158, -61, 3, 6, 6, 6, 3, 2, 2, 4, 5, 4, 5]","[-288, -1077, -1264, -95, -67, -90, -101, -108, -97, -93, -91, -97, -100, -99, -97]","[140, 385, 543, 142, 93, 111, 112, 116, 114, 110, 109, 109, 110, 108, 109]","[23, -38, -43, 91, 45, 37, 47, 49, 45, 45, 48, 52, 53, 53, 53]","[-2, -33, -43, 15, 22, -1, 7, 8, 7, 7, 7, 10, 9, 10, 9]"
obstruction,"[-13, -19, -20, -32, -36, 27, -6, 1, 3, 1, 2, 2, 2, 2, 1]","[-12, -69, -148, -176, -192, -68, -72, -35, -48, -46, -49, -46, -47, -45, -45]","[-558, -738, -923, -1168, -1286, -588, -588, -603, -581, -598, -590, -594, -584, -586, -581]","[-450, -430, -396, -495, -560, -331, -378, -403, -381, -397, -390, -393, -387, -386, -383]","[-108, -128, -156, -210, -232, -39, -65, -68, -52, -57, -64, -60, -56, -58, -59]","[21, 23, 36, 52, 55, 17, 2, 13, 6, 6, 10, 8, 8, 8, 8]"
obstruction,"[3, -1, -35, -60, -78, -92, -66, 27, 4, 11, 13, 11, 10, 10, 10]","[-10, -86, -79, -113, -159, -195, -110, -38, -44, -50, -63, -58, -53, -56, -57]","[-7, -628, -685, -800, -1032, -1274, -614, -640, -654, -606, -598, -601, -595, -599, -599]","[-44, -338, -418, -453, -535, -672, -340, -498, -476, -445, -425, -429, -425, -427, -426]","[1, -98, -206, -302, -395, -468, -284, -38, -88, -70, -63, -64, -63, -65, -67]","[5, 16, 46, 76, 104, 123, 83, 3, 9, 3, 2, 3, 3, 3, 4]"
